Qty,Value,Package,Parts
1,,1X2MTA,J1
7,0.1u,C0603,C2 C4 C6 C8 C10 C12 C18
1,0.82u,ECS-MPIL0630-R82MC,L2
1,1.5n,C0603,C5
2,1.5u,C0603,C16 C17
5,100k,R0603,R16 R17 R18 R19 R22
1,100u,C0603,C1
9,10k,R0603,R1 R6 R8 R9 R10 R12 R14 R15 R21
1,10n,C0603,C7
1,12k,R0603,R13
2,15k,R0603,R7 R20
4,1k,R0603,R2 R3 R4 R5
1,1u,C0603,C11
4,22u,C0603,C9 C13 C14 C15
1,33u,SRN1060-330M,L1
1,47u,C0603,C3
1,52k,R0603,R11
5,7SEGMINI,7SEGMINI,LED_DEPTH LED_HEADING LED_PITCH LED_POWER LED_ROLL
1,ACT4065ASH-T,SO8,U2
1,AP62600SJ-7,V-QFN2030-12,U3
1,ATMEGA328P_TQFP,TQFP32-08,U1
5,CAY16-681J8LF,CAY16-681J8LF,RN1 RN2 RN3 RN4 RN5
1,CSTNE16M0V530000R0,CSTCR6M,U$1
1,CTRL_CONNECT,1X06,JP6
1,Depth Sensor,1X03,JP1
1,ISP,2X03,JP7
1,MPU9250,MPU9250,M2
1,NCP164CSN330T1G,TSOP-5,U4
1,SER_CONNECT,1X06,JP5
5,SN74HCS595QPWRQ1,TSSOP16,IC2 IC4 IC6 IC8 IC10
1,Servo1,1X03,JP2
1,Servo2,1X03,JP3
1,Servo3,1X03,JP4
1,V4PAN50-M3,SMPA,D2
4,XP231P0201TR,SOT23,Q1 Q2 Q3 Q4
