Qty,Value,Device,Package,Parts,Description
3,,PINHD-1X2,1X02,SENSOR_1 SENSOR_2 SENSOR_3,PIN HEADER
32,,R-US_R0603,R0603,R20 R21 R22 R23 R24 R25 R26 R27 R29 R30 R31 R32 R33 R34 R35 R36 R38 R39 R40 R41 R42 R43 R44 R45 R47 R48 R49 R50 R51 R52 R53 R54,RESISTOR American symbol
3,0.7k,R-US_R0603,R0603,R2 R4 R6,RESISTOR American symbol
7,100k,R-US_R0603,R0603,R1 R3 R5 R28 R37 R46 R55,RESISTOR American symbol
2,10k,R-US_R0603,R0603,R10 R14,RESISTOR American symbol
6,10k,TRIM_US-RJ9W,RJ9W,CAL1 CAL2 CAL3 GAIN_1 GAIN_2 GAIN_3,POTENTIOMETER
4,10n,C-USC0603,C0603,C2 C3 C4 C5,CAPACITOR American symbol
1,16MHz,CSTNE16M0V530000R0,CSTCR6M,Y1,
2,1u,C-USC0603,C0603,C1 C6,CAPACITOR American symbol
1,5V,LD117ASTR,SOT223,IC3,Low drop fixed and adjustable positive voltage regulators 1 A
4,7SEGMINI,7SEGMINI,7SEGMINI,LED2 LED3 LED4 LED5,
2,AD712R,AD712R,SO8,IC1 IC2,Dual Precision Low Cost High Speed BiFET Op Amp
1,ATMEGA328P_TQFP,ATMEGA328P_TQFP,TQFP32-08,U1,Popular 328P in QFP
1,BATT,PINHD-1X2,1X02,BATT,PIN HEADER
1,CO2,PINHD-1X3,1X03,CO2,PIN HEADER
1,ISP,PINHD-2X3,2X03,ISP,PIN HEADER
1,SER,PINHD-1X6,1X06,SER,PIN HEADER
4,SN74HCS595QPWRQ1,SN74HCS595QPWRQ1,TSSOP16,IC4 IC5 IC6 IC7,
1,SST5485,SST5485,SOT23,Q1,N-Channel JFETs
4,XP231P0201TR,XP231P0201TR,SOT23,Q2 Q3 Q4 Q5,P-Channel Enhancement mode MOSFET
